Genome	M1C	M2C	M3C	M4C	Marinobacter_CB1	Marinobacter_CBIA	Marinobacter_CBIW17	Marinobacter_CBIW18	adhaerens	algicola	antarcticus	aromaticivorans	bohaiensis	changyiensis	confluentis	daepoensis	daqiaonensis	excellens	flavimaris	fonticola	fuscus	gelidimuriae	gudaonensis	guineae	halophilus	halotolerans	hydrocarbonoclasticus	lipolyticus	litoralis	lutaoensis	manganoxydans	maritimus	mobilis	nanhaiticus	nitratireducens	pelagius	persicus	piscensis	profundi	psychrophilus	salarius	salexigens	salicampi	salinus	salsuginis	santoriniensis	segnicrescens	shengliensis	similis	subterrani	vinifirmus	vulgaris	zhejiangensis
Membrane-bound lytic murein transglycosylase B	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	1	2	1	2	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	2	1	3	1	2	1	1	1	2	1	1	1	1	2	2
Thiamine biosynthesis lipoprotein ApbE	1	1	1	1	1	1	1	1	2	2	3	3	1	1	2	1	1	1	2	1	1	1	1	2	1	2	2	1	1	3	2	2	2	2	3	1	2	1	1	1	2	2	1	3	2	1	1	2	3	1	2	1	2
Cellulose biosynthesis protein BcsQ	4	4	5	4	4	4	2	3	6	4	5	3	4	4	4	5	3	4	5	4	4	3	3	5	4	4	4	4	3	5	5	3	4	5	4	3	3	3	3	5	5	3	4	4	5	4	3	4	4	4	4	4	4
Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, gamma subunit	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNA recombination-dependent growth factor C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Small-conductance mechanosensitive channel	8	8	8	8	8	8	5	7	7	6	9	5	6	6	5	5	7	8	7	5	7	5	7	7	9	6	6	7	7	6	7	11	4	9	5	6	5	6	5	7	6	7	8	9	6	7	5	6	9	5	7	6	6
GMP synthase - Glutamine amidotransferase domain	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	2	3	2	2	1	2	2	3	2	2	2	4	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2
Molybdopterin biosynthesis enzyme MoaB	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Elongation factor P--beta-lysine ligase (EF-P beta-lysylation pathway)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytosine/adenosine deaminase or related metal-dependent hydrolase	2	2	2	2	1	3	1	1	2	3	1	1	6	1	3	1	1	2	2	3	1	1	1	1	1	1	1	1	1	3	2	4	1	6	1	1	1	2	1	3	3	2	1	1	2	1	6	1	1	1	3	1	3
Peptide methionine sulfoxide reductase MsrB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N-acetylmuramoyl-L-alanine amidase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Histidyl-tRNA synthetase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Peptide methionine sulfoxide reductase MsrA	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	1	2	2	2	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	1	2	2
Indole-3-glycerol phosphate synthase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNA-binding transcriptional regulator, AcrR family	12	12	12	12	10	11	7	13	22	25	13	16	27	20	14	20	22	17	20	24	19	8	14	20	16	17	22	23	16	16	22	18	23	29	19	16	14	12	20	10	24	15	19	16	19	19	26	23	19	16	18	15	23
Leucyl aminopeptidase	1	1	1	1	1	1	0	1	1	1	2	1	1	4	1	1	2	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	2	1	2	1	1	3	2	1	2	1
Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Predicted CDP-diglyceride synthetase/phosphatidate cytidylyltransferase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16S rRNA C1402 (ribose-2'-O) methylase RsmI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uncharacterized conserved protein, DUF924 family	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Heme/copper-type cytochrome/quinol oxidase, subunit 1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	3	1	1	2	2	1	1	2	1	1	1
NAD dependent epimerase/dehydratase family enzyme	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SH3-like domain	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	2	1	1	1	1	2	1	2	2	1	1	2	2	2	1	2	2	1	1	1	1	1	2	2	1	2	2	1	1	2	2	1	1	1	1
3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	4	4	9	4	3	1	3	6	4	6	3	3	3	5	3	3	3	3	4	4	6	2	4	4	3	4	3	3	3	3	3	3	3	4	3	3	2	2	3	2	5	3	3	3	3	4	3	3	3	4	3	3	3
Predicted amidohydrolase	4	4	5	4	3	3	4	3	6	5	2	2	8	4	3	3	3	4	5	4	3	3	4	5	3	4	4	5	4	5	4	6	4	8	4	4	3	1	4	5	5	2	3	5	5	5	4	4	5	4	4	6	5
S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Lipopolysaccharide export LptBFGC system, permease protein LptF	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2
Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16S rRNA G1207 methylase RsmC	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE	2	2	2	2	3	1	0	1	1	2	2	1	3	2	1	1	2	1	2	3	1	2	1	2	1	1	1	2	1	1	2	2	1	2	2	2	1	2	2	2	2	1	2	2	1	2	2	1	2	2	2	1	2
Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	2	2	1	2	2	1	2	2	2	2	1	2	2	2	1	2	1
4-hydroxybenzoate polyprenyltransferase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1
Predicted nucleic-acid-binding protein, contains Zn-ribbon domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NADH pyrophosphatase NudC, Nudix superfamily	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uncharacterized conserved protein YabN, contains tetrapyrrole methylase and MazG-like pyrophosphatase domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Putative ribosome biogenesis GTPase RsgA	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
Orotidine-5'-phosphate decarboxylase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cell division protein ZapA, inhibits GTPase activity of FtsZ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABC-type microcin C transport system, permease component YejB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABC-type phosphate transport system, ATPase component	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ssDNA-binding Zn-finger and Zn-ribbon domains of topoisomerase 1	2	2	2	2	2	2	1	2	1	2	2	1	2	3	2	2	2	1	2	2	1	2	2	3	1	2	1	1	2	3	1	2	1	3	1	1	1	1	1	2	3	1	2	2	1	1	2	1	2	2	3	2	2
Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Recombinational DNA repair ATPase RecF	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1
Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Aspartokinase	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Dihydroorotase or related cyclic amidohydrolase	3	3	3	3	1	3	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
Septum formation inhibitor MinC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNA-binding protein, stimulates sugar fermentation	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis proteins	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2
DNA-directed RNA polymerase, beta subunit/140 kD subunit	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glycine/D-amino acid oxidase (deaminating)	9	9	8	9	8	10	6	9	5	5	5	4	9	6	5	4	4	5	5	4	3	5	6	5	5	6	4	6	5	4	6	6	4	6	3	3	3	2	3	9	6	4	7	5	5	5	3	4	7	5	3	7	4
Fe2+ or Zn2+ uptake regulation protein	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2
Anthranilate/para-aminobenzoate synthase component II	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	1	1	2	1	1	1	1	1	3	1	1	3	1	1	1	1	1	1	3	1	3	2	1	3	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	3	1	2	1	3	1	1	1	1	2	3	1	1
Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster	4	4	5	4	3	5	2	1	4	3	3	4	3	5	4	3	2	2	3	3	3	2	3	3	3	3	2	2	2	3	3	3	2	3	3	4	1	3	4	3	3	4	4	3	3	2	3	3	3	3	4	3	2
Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme	2	2	2	2	2	2	2	3	4	3	4	4	2	3	2	3	2	3	5	3	3	2	1	2	3	2	3	2	4	2	4	6	3	2	2	2	4	4	5	1	3	4	4	3	3	1	3	4	1	1	3	4	2
RNase H-fold protein, predicted Holliday junction resolvase in Firmicutes and mycoplasms, involved in anti-termination at Rho-dependent terminators	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Agmatine/peptidylarginine deiminase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABC-type transporter Mla maintaining outer membrane lipid asymmetry, periplasmic component MlaD	2	2	2	2	1	1	1	2	2	2	2	2	2	3	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2
Sulfite reductase, beta subunit (hemoprotein)	1	1	1	1	1	1	0	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
Tfp pilus assembly protein PilP	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
Phosphoserine aminotransferase	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1
ABC-type methionine transport system, ATPase component	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABC-type transporter Mla maintaining outer membrane lipid asymmetry, permease component MlaE	2	2	2	2	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
Glutathionyl-hydroquinone reductase	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1
2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Predicted phosphohydrolase, protein tyrosine phosphatase (PTP) superfamily, DUF442 family	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2
Formamidopyrimidine-DNA glycosylase	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	2	1
Uncharacterized metal-binding protein YceD, DUF177 family	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Flagellar biosynthesis pathway, component FlhA	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	4	1	0	1	1
Signal recognition particle GTPase	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Sulfur relay (sulfurtransferase) complex TusC component, DsrF/TusC family	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AICAR transformylase/IMP cyclohydrolase PurH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glycine cleavage system H protein (lipoate-binding)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Acetyl-CoA carboxylase beta subunit	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Outer membrane protein assembly factor BamA	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	2	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1
Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Nicotinate-nucleotide pyrophosphorylase	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Ribonuclease PH	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Ribonuclease HI	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
ABC-type ATPase involved in cell division	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Predicted phosphotransferase, aminoglycoside/choline kinase (APH/ChoK) family	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Preprotein translocase subunit SecF	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	1	2	2	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1
HD superfamily phosphohydrolase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tmRNA-binding protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Secreted/periplasmic Zn-dependent peptidases, insulinase-like	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glutamate racemase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Rad3-related DNA helicase	2	2	2	2	2	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
7-keto-8-aminopelargonate synthetase or related enzyme	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tfp pilus assembly protein PilT, pilus retraction ATPase	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1
NAD-dependent DNA ligase	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	3	1	1	1	1
Fatty acid/phospholipid biosynthesis enzyme	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
Single-stranded DNA-specific exonuclease, DHH superfamily, may be involved in archaeal DNA replication intiation	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1
Homoserine acetyltransferase	1	1	1	1	0	1	1	1	2	1	1	1	2	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	2	2	2	1	1	2	2
Molecular chaperone GrpE (heat shock protein)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Leu/Phe-tRNA-protein transferase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
